Week&Year of Medical Report Submitted to Insurer Date,Insurer Name Plain,Insurer Name Plain Count
W21 2026,Aditya Birla Sun Life Insurance,152
,Ageas Federal Life Insurance,30
,Bajaj Life Insurance Company,178
,ICICI Lombard,141
,Pramerica Life Insurance,56
,Star Union Daichi Life Insurance,18
W22 2026,Aditya Birla Sun Life Insurance,138
,Ageas Federal Life Insurance,21
,Bajaj Life Insurance Company,163
,ICICI Lombard,144
,Pramerica Life Insurance,69
,Star Union Daichi Life Insurance,11
W23 2026,Aditya Birla Sun Life Insurance,210
,Ageas Federal Life Insurance,28
,Bajaj Life Insurance Company,200
,ICICI Lombard,159
,Pramerica Life Insurance,54
,Star Union Daichi Life Insurance,14
W24 2026,Aditya Birla Sun Life Insurance,8
,Bajaj Life Insurance Company,6
,ICICI Lombard,2
,Pramerica Life Insurance,1
