Week&Year of Added Time,Insurer Name Plain,Insurer Name Plain Count
W21 2026,Aditya Birla Sun Life Insurance,279
,Ageas Federal Life Insurance,39
,Bajaj Life Insurance Company,166
,ICICI Lombard,174
,Pramerica Life Insurance,192
,Star Union Daichi Life Insurance,26
W22 2026,Aditya Birla Sun Life Insurance,380
,Ageas Federal Life Insurance,31
,Bajaj Life Insurance Company,257
,Canara HSBC Life Insurance,1
,ICICI Lombard,203
,Pramerica Life Insurance,182
,Star Union Daichi Life Insurance,57
W23 2026,Aditya Birla Sun Life Insurance,535
,Ageas Federal Life Insurance,54
,Bajaj Life Insurance Company,230
,ICICI Lombard,211
,Pramerica Life Insurance,106
,Star Union Daichi Life Insurance,191
W24 2026,Ageas Federal Life Insurance,1
,Bajaj Life Insurance Company,3
